,Cluster,Count,Percentage
0,0.0,1679,0.8210268948655257
1,1.0,96,0.0469437652811736
2,2.0,78,0.038141809290953545
3,3.0,42,0.020537897310513448
4,4.0,31,0.015158924205378973
5,5.0,22,0.010757946210268949
6,6.0,25,0.012224938875305624
7,7.0,24,0.0117359413202934
8,8.0,12,0.0058679706601467
9,9.0,6,0.00293398533007335
10,10.0,6,0.00293398533007335
11,11.0,6,0.00293398533007335
12,12.0,6,0.00293398533007335
13,13.0,6,0.00293398533007335
14,14.0,6,0.00293398533007335
